name,type,status,low_upper_inc_received,low_upper_inc_donations,total_received,total_donations,percent_low_upper,percent_num_low_upper,filer_id
"ANDREW CUOMO FOR NEW YORK, INC.",COMMITTEE,ACTIVE,2146605.89,880,16144393.73,4888,13.29629298,18.00327332,A31966
VOICE OF TEACHERS FOR EDUCATION / COMMITTEE ON POLITICAL EDUCATION OF THE NEW YO,COMMITTEE,ACTIVE,2358401.89,32366,9890333.5,136138,23.84552442,23.77440538,A01111
NASSAU COUNTY REPUBLICAN COMMITTEE,COMMITTEE,ACTIVE,742460,2108,5372859,12518,13.81871365,16.83975076,C20415
DE BLASIO 2017,COMMITTEE,ACTIVE,721232.69,3687,4762560.11,16880,15.14380235,21.84241706,C02795
SCHNEIDERMAN 2018,COMMITTEE,ACTIVE,287023,622,3545569.27,3354,8.095258565,18.54502087,A21032
CURRAN FOR NASSAU,COMMITTEE,ACTIVE,265845,286,3103534.3,2613,8.56587923,10.94527363,C06560
NYS SENATE REPUBLICAN CAMPAIGN COMMITTEE (NYSSRCC),COMMITTEE,ACTIVE,521787,170,2814232.17,760,18.54100758,22.36842105,A00193
NEW YORK REPUBLICAN STATE COMMITTEE - REPORTING,COMMITTEE,ACTIVE,119700,31,2797475,200,4.278858614,15.5,A00191
KAMINSKY FOR NEW YORK,COMMITTEE,ACTIVE,254596.05,384,2752560.93,2778,9.24942468,13.82289417,A21243
FRIENDS OF ROB ASTORINO,COMMITTEE,ACTIVE,229015.56,503,2609115.25,3218,8.777517973,15.6308266,C19676
"MASSEY FOR MAYOR 2017, INC.",COMMITTEE,ACTIVE,144062,244,2565161.51,2249,5.616098614,10.84926634,C06364
ERIC ADAMS 2021,COMMITTEE,INACTIVE,430119,1033,2398734.22,4861,17.931082,21.25077145,C09490
BELLONE FOR SUFFOLK,COMMITTEE,ACTIVE,313060,271,2263028,1423,13.83367771,19.04427266,C87383
LAWPAC OF NEW YORK,COMMITTEE,ACTIVE,186666.25,1235,2064956.01,8321,9.039720415,14.84196611,A00880
REALTORS POLITICAL ACTION COMMITTEE,COMMITTEE,ACTIVE,446080.05,2780,2050852.28,12596,21.75095956,22.07049857,A00917
MALONEY FOR NEW YORK,COMMITTEE,ACTIVE,189437,403,1825007.55,1957,10.38006665,20.592744,A22481
NASSAU COUNTY DEMOCRATIC COMMITTEE (NCDC),COMMITTEE,ACTIVE,229951.34,376,1793123.54,2037,12.82406565,18.45851743,C20281
SUFFOLK COUNTY DEMOCRATIC COMMITTEE,COMMITTEE,ACTIVE,533515.66,857,1787149.54,3158,29.85288293,27.13742875,C24384
