Name ,Lowest Income,Low Income,Middle Income,High Income,Highest Income
"ANDREW CUOMO FOR NEW YORK, INC.",1027512.29,327315,1047956.04,2146605.89,11750129.51
VOICE OF TEACHERS FOR EDUCATION / COMMITTEE ON POLITICAL EDUCATION OF THE NEW YO,266413.86,822641.28,1430320.51,2358401.89,4986866.4
NEW YORKERS FOR A BALANCED ALBANY,3002333.97,78375,105475,742460,2400000
NASSAU COUNTY REPUBLICAN COMMITTEE,68025,362731.63,500,721232.69,4378524
DE BLASIO 2017,370802.04,1954.76,424396.34,287023,5185000
PFIZER INC PAC,420,101079.28,168676,265845,2883397.41
SCHNEIDERMAN 2018,209530,14860,88545,521787,4141630.34
CURRAN FOR NASSAU,185725,262724,370851,119700,2781910.99
NYS SENATE REPUBLICAN CAMPAIGN COMMITTEE (NYSSRCC),578377.14,647350,117550,254596.05,2548559.3
NEW YORK REPUBLICAN STATE COMMITTEE - REPORTING,84500,45250,98158.34,229015.56,1136993.03
KAMINSKY FOR NEW YORK,90950,100514,97425,144062,1833375
FRIENDS OF ROB ASTORINO,120143,96783,92029,430119,2270106.54
"MASSEY FOR MAYOR 2017, INC.",33839.44,295736.01,251676,313060,2062017.69
ERIC ADAMS 2021,179028,16125,82250,186666.25,2198448.07
BELLONE FOR SUFFOLK,105400,110406.25,83150.01,446080.05,1242175.21
NEW YORKERS FOR INDEPENDENT ACTION,941600,306490.31,444828.82,189437,1746193
LAWPAC OF NEW YORK,148699.18,2578.25,54879.48,229951.34,1257500
REALTORS POLITICAL ACTION COMMITTEE,132134.55,41695,58775,533515.66,1536034.32
MALONEY FOR NEW YORK,88151,23375,137324.45,255332.52,713964.55
NASSAU COUNTY DEMOCRATIC COMMITTEE (NCDC),20681,102660.07,145704.65,438103.56,1489911.82
SUFFOLK COUNTY DEMOCRATIC COMMITTEE,42916,292606.17,575127.91,201980,1464021.2
JAMES FOR NY,192135.34,30096.77,57750,213781.29,1054518.43
ERIE COUNTY DEMOCRATIC COMMITTEE,151818.11,91996.33,156300.83,216274.56,973904.22
ELEANOR ROOSEVELT LEGACY COMMITTEE,55214.39,107469,162444.82,159120,204318.18
CYNTHIA FOR NEW YORK,92403.46,14075.85,76400,205606.91,1275028.15
ERIC GONZALEZ FOR BROOKLYN DISTRICT ATTORNEY,142388.29,78750.99,117047.5,205054.17,1064071.49
NYS DEMOCRATIC SENATE CAMPAIGN COMMITTEE (NYS DSCC),194675,6750,59950,225260.71,872317.19
STRINGER FOR NEW YORK,59735,137836.5,162984.45,114444.73,1130661.51
TIM SINI FOR DA,202349,20160.2,28131,104995,1021447.84
MOLINARO FOR NEW YORK,187034.79,75125,28525,165162.78,999665.41
LATIMER FOR WESTCHESTER,26475,51168.81,58302.71,270852.95,617611.8
FRIENDS OF MADELINE SINGAS,28500,51050,159997,224759.11,1300000
"DINAPOLI 2022, INC.",52408.6,83193,63412.34,250607.5,1099619.21
FRIENDS FOR KATHY HOCHUL,96027,81246.75,110685,186969.81,1042349.32
NICOLE FOR NEW YORK CITY,30570.17,160686.04,202774.31,81268.65,894369.24
HEALTHCARE ASSOCIATION OF NEW YORK STATE PAC (HANYS PAC),34202.5,6450,24975,207437.7,635940.88
MEDICAL SOCIETY OF THE STATE OF NEW YORK POLITICAL ACTION COMMITTEE (MSSNYPAC),97971.92,62405,9235,166010.5,733615.12
FRIENDS OF LAURA GILLEN,35750,33403.04,136729.46,78419.41,624296.5
KEITH WOFFORD FOR ATTORNEY GENERAL,55540,4650,30645,289645.53,415304.77
ZEPHYR FOR NEW YORK,28264,39231,96300.35,207385,855716
JACK SCHNIRMAN FOR NASSAU,141735,10348,23952,201616.32,1000000
LASAK FOR DISTRICT ATTORNEY,15948,136438.85,319824.4,123764,989000
CITIZENS FOR SANTINO,8864,25548,39456,35250,637798.8
FRIENDS OF JEN METZGER,25561.54,140392.01,50,182908,583674.31
STRINGER 2017,25584,16370,304048,136200,688395.61
"COMMITTEE FOR RANKED CHOICE VOTING NYC, INC.",100,34390,64851,167103,496019.35
BROWN FOR BUFFALO,159861.5,2875,70610,112169,685668.98
NYS DEMOCRATIC ASSEMBLY CAMPAIGN COMMITTEE (DACC),56512,165495,14940,309909,232226.81
NYC DIAZ,47176,4000,185600,76356.07,667311.23
MARTINS FOR NASSAU,9210,42650,5830,197251,844300
ERIE COUNTY REPUBLICAN COMMITTEE-FINANCE,41929,24525,65295,60000,85942
CITIZENS FOR SALADINO,8225,96834,27150,111539.16,670558
KATZ NYS (NEW YORK STATE),39739,4664,276574,174184,531250
REAL ESTATE BOARD PAC,76000,58360,32060,89102,708887.73
FRIENDS OF ROB ASTORINO,19725,63653.19,65920,178155,116093
FRIENDS OF MARK POLONCARZ,53029,72539,103288.02,150908.02,693267.37
NEW YORKERS FOR MARK GJONAJ,35290,48065,208535,692743.56,428153
ANDREW FOR NEW YORK,31702,45877.2,138352,133320.86,631000
