Name,Received,Type
"ANDREW CUOMO FOR NEW YORK, INC.",1027512.29,Lowest Income
VOICE OF TEACHERS FOR EDUCATION / COMMITTEE ON POLITICAL EDUCATION OF THE NEW YO,266413.86,Lowest Income
NEW YORKERS FOR A BALANCED ALBANY,3002333.97,Lowest Income
NASSAU COUNTY REPUBLICAN COMMITTEE,68025,Lowest Income
DE BLASIO 2017,370802.04,Lowest Income
PFIZER INC PAC,420,Lowest Income
SCHNEIDERMAN 2018,209530,Lowest Income
CURRAN FOR NASSAU,185725,Lowest Income
NYS SENATE REPUBLICAN CAMPAIGN COMMITTEE (NYSSRCC),578377.14,Lowest Income
NEW YORK REPUBLICAN STATE COMMITTEE - REPORTING,84500,Lowest Income
KAMINSKY FOR NEW YORK,90950,Lowest Income
FRIENDS OF ROB ASTORINO,120143,Lowest Income
"MASSEY FOR MAYOR 2017, INC.",33839.44,Lowest Income
ERIC ADAMS 2021,179028,Lowest Income
BELLONE FOR SUFFOLK,105400,Lowest Income
NEW YORKERS FOR INDEPENDENT ACTION,941600,Lowest Income
LAWPAC OF NEW YORK,148699.18,Lowest Income
REALTORS POLITICAL ACTION COMMITTEE,132134.55,Lowest Income
MALONEY FOR NEW YORK,88151,Lowest Income
NASSAU COUNTY DEMOCRATIC COMMITTEE (NCDC),20681,Lowest Income
SUFFOLK COUNTY DEMOCRATIC COMMITTEE,42916,Lowest Income
JAMES FOR NY,192135.34,Lowest Income
ERIE COUNTY DEMOCRATIC COMMITTEE,151818.11,Lowest Income
ELEANOR ROOSEVELT LEGACY COMMITTEE,55214.39,Lowest Income
CYNTHIA FOR NEW YORK,92403.46,Lowest Income
ERIC GONZALEZ FOR BROOKLYN DISTRICT ATTORNEY,142388.29,Lowest Income
NYS DEMOCRATIC SENATE CAMPAIGN COMMITTEE (NYS DSCC),194675,Lowest Income
STRINGER FOR NEW YORK,59735,Lowest Income
TIM SINI FOR DA,202349,Lowest Income
MOLINARO FOR NEW YORK,187034.79,Lowest Income
LATIMER FOR WESTCHESTER,26475,Lowest Income
FRIENDS OF MADELINE SINGAS,28500,Lowest Income
"DINAPOLI 2022, INC.",52408.6,Lowest Income
FRIENDS FOR KATHY HOCHUL,96027,Lowest Income
NICOLE FOR NEW YORK CITY,30570.17,Lowest Income
HEALTHCARE ASSOCIATION OF NEW YORK STATE PAC (HANYS PAC),34202.5,Lowest Income
MEDICAL SOCIETY OF THE STATE OF NEW YORK POLITICAL ACTION COMMITTEE (MSSNYPAC),97971.92,Lowest Income
FRIENDS OF LAURA GILLEN,35750,Lowest Income
KEITH WOFFORD FOR ATTORNEY GENERAL,55540,Lowest Income
ZEPHYR FOR NEW YORK,28264,Lowest Income
JACK SCHNIRMAN FOR NASSAU,141735,Lowest Income
LASAK FOR DISTRICT ATTORNEY,15948,Lowest Income
CITIZENS FOR SANTINO,8864,Lowest Income
FRIENDS OF JEN METZGER,25561.54,Lowest Income
STRINGER 2017,25584,Lowest Income
"COMMITTEE FOR RANKED CHOICE VOTING NYC, INC.",100,Lowest Income
BROWN FOR BUFFALO,159861.5,Lowest Income
NYS DEMOCRATIC ASSEMBLY CAMPAIGN COMMITTEE (DACC),56512,Lowest Income
NYC DIAZ,47176,Lowest Income
MARTINS FOR NASSAU,9210,Lowest Income
ERIE COUNTY REPUBLICAN COMMITTEE-FINANCE,41929,Lowest Income
CITIZENS FOR SALADINO,8225,Lowest Income
KATZ NYS (NEW YORK STATE),39739,Lowest Income
REAL ESTATE BOARD PAC,76000,Lowest Income
FRIENDS OF ROB ASTORINO,19725,Lowest Income
FRIENDS OF MARK POLONCARZ,53029,Lowest Income
NEW YORKERS FOR MARK GJONAJ,35290,Lowest Income
ANDREW FOR NEW YORK,31702,Lowest Income
JETBLUE AIRWAYS CORPORATION CREW MEMBER GOOD GOVERNMENT FUND (JETBLUE PAC),1150,Lowest Income
KENNEDY FOR SENATE,87010,Lowest Income
BEN WALSH FOR SYRACUSE,168675,Lowest Income
FRIENDS OF ELIZABETH CROWLEY,15505,Lowest Income
SUFFOLK COUNTY REPUBLICAN COMMITTEE CAMPAIGN ACCT (SCRC),8300,Lowest Income
LANDER FOR NYC,8204.42,Lowest Income
FRIENDS OF ANDREA STEWART-COUSINS,72755,Lowest Income
COREY 2021,29418,Lowest Income
STATE STREET ASSOCIATES PAC,5000,Lowest Income
